No,as_path,no_of_hops
1,"15625,1273,3356,8075",2
2,"15625,1273,1299,8075",2
3,"15625,1273,1299,3356,8075",3
4,"15625,1273,1299,174,8075",3
5,"15625,1273,1299,3257,8075",3
6,"15625,1273,1299,3491,8075",3
7,"15625,1273,1299,6453,8075",3
8,"15625,1273,1299,6453,4755,8075",4
9,"15625,1273,1299,7018,8075",3
10,"15625,1273,1299,4826,8075",3
11,"15625,1273,174,8075",2
12,"15625,1273,3257,8075",2
13,"15625,1273,3491,8075",2
14,"15625,1273,6453,8075",2
15,"15625,1273,6453,4755,8075",3
16,"15625,1273,12956,8075",2
17,"15625,702,174,8075",2
18,"15625,702,1299,8075",2
19,"15625,702,1299,4826,8075",3
20,"15625,702,3356,8075",2
21,"15625,702,3257,8075",2
22,"15625,702,701,3491,8075",3
23,"15625,702,701,3356,8075",3
24,"15625,702,701,7018,8075",3
25,"15625,702,3491,8075",2
26,"15625,702,6453,8075",2
27,"15625,702,6453,4755,8075",3
28,"15625,702,12956,8075",2
29,"15625,19905,22822,1299,8075",3
30,"15625,19905,22822,1299,3356,8075",4
31,"15625,19905,22822,1299,174,8075",4
32,"15625,19905,22822,1299,3257,8075",4
33,"15625,19905,22822,1299,3491,8075",4
34,"15625,19905,22822,1299,6453,8075",4
35,"15625,19905,22822,1299,7018,8075",4
36,"15625,19905,22822,1299,4826,8075",4
37,"15625,19905,22822,6762,174,8075",4
38,"15625,19905,22822,6762,3356,8075",4
39,"15625,19905,22822,701,3491,8075",4
40,"15625,19905,22822,701,3356,8075",4
41,"15625,19905,22822,701,7018,8075",4
42,"15625,19905,22822,3491,8075",3
43,"15625,19905,22822,3491,1299,8075",4
44,"15625,19905,22822,3491,3356,8075",4
45,"15625,19905,22822,3491,6453,8075",4
46,"15625,19905,22822,3356,8075",3
47,"15625,19905,22822,3356,1299,8075",4
48,"15625,19905,22822,3356,6453,8075",4
49,"15625,19905,22822,3356,174,8075",4
50,"15625,19905,22822,3356,3491,8075",4
51,"15625,19905,22822,3356,3257,8075",4
52,"15625,19905,2914,3257,8075",3
53,"15625,19905,2914,3491,8075",3
54,"15625,19905,2914,3356,8075",3
55,"15625,19905,2914,12956,8075",3
56,"15625,19905,2914,7018,8075",3
57,"15625,19905,6453,8075",2
58,"15625,19905,6453,3257,8075",3
59,"15625,19905,6453,4755,8075",3
60,"15625,19905,6453,3356,8075",3
61,"15625,19905,6453,1299,8075",3
62,"15625,19905,6453,1299,4826,8075",4
63,"15625,19905,6453,3491,8075",3
64,"15625,198949,2914,3257,8075",3
65,"15625,198949,2914,3491,8075",3
66,"15625,198949,2914,3356,8075",3
67,"15625,198949,2914,12956,8075",3
68,"15625,198949,2914,7018,8075",3
69,"15625,198949,1299,8075",2
70,"15625,198949,1299,3356,8075",3
71,"15625,198949,1299,174,8075",3
72,"15625,198949,1299,3257,8075",3
73,"15625,198949,1299,3491,8075",3
74,"15625,198949,1299,6453,8075",3
75,"15625,198949,1299,6453,4755,8075",4
76,"15625,198949,1299,7018,8075",3
77,"15625,198949,1299,4826,8075",3
78,"15625,198949,3356,8075",2
79,"15625,198949,3356,1299,8075",3
80,"15625,198949,3356,1299,4826,8075",4
81,"15625,198949,3356,6453,8075",3
82,"15625,198949,3356,6453,4755,8075",4
83,"15625,198949,3356,174,8075",3
84,"15625,198949,3356,3491,8075",3
85,"15625,198949,3356,3257,8075",3
